품명,한글명,포장단위(규격), 금액(US$),제조국,전문/일반
OPTIRAY 350 INJ,옵티레이350주사,150ML/BOTTLE,"  1,068,648 ",CANADA,전문
OPTIRAY 350 INJ,옵티레이350주사,500ML/BOTTLE,"  814,959 ",CANADA,전문
OPTIRAY 350 INJ,옵티레이350주사,50ML/VIAL,"  23,713 ",CANADA,전문
OPTISOL-GS SOLUTION,옵티졸지에스액,20ML/12VIAL/BOX,"  22,800 ",USA,전문
ORENCIA INJ 250MG,오렌시아주250밀리그램,250MG/VIAL,"  2,733,588 ",USA,전문
ORENCIA SUBCU PFS 125MG,오렌시아서브큐프리필드시린지125밀리그램,1ML/4SYRINGE/PACK,"  320,690 ",USA,전문
ORGALUTRAN INJ 0.25MG/0.5ML,오가루트란주0.25mg/0.5ml,0.5ML/1PFS/PACK,"  1,250,571 ",NETHERLANDS,전문
OVESTIN VAGINAL SUPPOSITORIES,오베스틴질좌제,15SUPP/PACK,"  407,158 ",AUSTRALIA,전문
OVIDREL LIQUID INJECTION,오비드렐리퀴드주,0.5ML/1PFS/BOX,"  1,946,443 ",U.K,전문
OXALIPLATIN INJ,화이자옥살리플라틴액상주,10ML/VIAL,"  75,377 ",U.K,전문
OXALIPLATIN INJ,화이자옥살리플라틴액상주,20ML/VIAL,"  78,672 ",U.K,전문
OXALIPLATIN INJ,화이자옥살리플라틴액상주,40ML/VIAL,"  112,010 ",U.K,전문
OZURDEX IMPLANTS 700MCG,오저덱스이식제700㎍,1APPLICATOR/UNIT,"  3,453,113 ",IRELAND,전문
PANTOLOC INJECTION,판토록주사,10ML/1VIAL/PACK,"  1,698,479 ",GERMANY,전문
PANTOLOC TAB 20MG,판토록정20밀리그램,30TAB/BOTTLE,"  3,269,438 ",GERMANY,전문
PANTOLOC TAB 40MG,판토록정40밀리그램,30TAB/BOTTLE,"  2,148,598 ",GERMANY,전문
PARACETAMOL INJ,카비파라세타몰주,100ML/VIAL,  59 ,GERMANY,전문
PARLODEL TAB.,팔로델정,10TAB/3PTP/PACK,"  355,204 ",ITALY,전문
PATADAY 0.2% OPHTHALMIC SOLUTION,파타데이0.2%점안액,3ML/1BOTTLE/PACK,"  2,140,476 ",USA,전문
"PATANOL EYE DROPS, SOLUTION 0.1%",파타놀점안액0.1%,5ML/BOTTLE/PACK,"  1,198,854 ",SINGAPORE,전문
PAXIL CR TAB 12.5MG(PAROXETINE HYDRO CHLORIDE),팍실CR정12.5밀리그램,10TAB/3PTP/PACK,"  2,317,096 ",CANADA,전문
PAZEO 0.7% EYE DROP (OLOPATADINE HCL),파제오0.7%점안액,2.5ML/BOTTLE,"  1,930,173 ",USA,전문
PD-PEXOL TAB 0.125MG,피디펙솔정0.125mg,10TAB/10PTP/PACK,"  63,341 ",GERMANY,전문
PD-PEXOL TAB 0.25MG,피디펙솔정0.25밀리그램,10TAB/10PTP/PACK,"  188,913 ",GERMANY,전문
PD-PEXOL TAB 0.5MG,피디펙솔정0.5mg,10TAB/10PTP/PACK,"  213,404 ",GERMANY,전문
PD-PEXOL TAB 1MG,피디펙솔정1mg,10TAB/10PTP/PACK,"  396,685 ",GERMANY,전문
PEDEA INJ.,페데아주,2ML/4AMP/PACK,"  67,509 ",GERMANY,전문
PEDEA INJ.,페데아주,2ML/4AMP/PACK,"  290,903 ",FRANCE,전문
PEGASYS INJ.135MCG PROCLICK,페가시스주135마이크로그램프로클릭,0.5ML/1PFP/PACK,"  14,404 ",U.K,전문
PEGASYS INJ.180MCG PROCLICK,페가시스주180마이크로그램프로클릭,0.5ML/1PFP/PACK,"  241,352 ",U.K,전문
PEGASYS PREFILLED SYRINGE INJ. 135MCG,페가시스프리필드주135마이크로그램,0.5ML/1SYRINGE/PACK,"  45,819 ",SWITZERLAND,전문
PENTASA RECTAL SUSPENSION,펜타사관장액,100ML/7BOTTLE/BOX,"  60,041 ",CZECH,전문
PENTASA SLOW RELEASE TABLETS 1G,펜타사서방정1g,10TAB/6PTP/PACK,"  4,564,368 ",SWITZERLAND,전문
PENTASA SLOW RELEASE TABLETS 500MG,펜타사서방정500밀리그램,10TAB/10TP/BOX,"  981,937 ",SWITZERLAND,전문
PENTASA SUPPOSITORIES,펜타사좌약,28SUPP/PTP/BOX,"  3,373,021 ",GERMANY,전문
PENTAXIM INJ.,펜탁심주,(1VIAL+0.5MLX1PFS)/BOX,"  20,251,218 ",FRANCE,전문
PERASTEL SOLUTION,페라스텔액,제1제(4750MLX2EA)+제2제(250MLX2EA)/CARTON,"  331,073 ",U.K,전문
PERGOVERIS INJ,퍼고베리스주,31.71MG/1VIAL/BOX,"  1,145,285 ",U.K,전문
PERIOCLINE PERIODONTAL OINTMENT,페리오클린치과용연고,0.5G/5SYRINGE/BOX,"  254,075 ",JAPAN,전문
PERIOLIMEL N4E INJ,페리올리멜엔4이주,1000ML/6BAG/BOX,"  3,623,528 ",FRANCE,전문
PERIOLIMEL N4E INJ,페리올리멜엔4이주,1500ML/4BAG/BOX,"  3,350,210 ",FRANCE,전문
PERIOLIMEL N4E INJ,페리올리멜엔4이주,2000ML/4BAG/BOX,"  298,748 ",FRANCE,전문
PERJETA INJ.,퍼제타주,14ML/1VIAL/PACK,"  20,293,070 ",SWITZERLAND,전문
PERLINGANIT IV 1MG/ML 10ML,페링가니트0.1%주사,10ML/10AMP/BOX,"  72,231 ",GERMANY,전문
PFIZER CYTARABINE INJ 100mg/5mL,화이자시타라빈주100mg/5mL,5ML/5VIAL/CARTON,"  10,674 ",AUSTRALIA,전문
PFIZER CYTARABINE INJ 100mg/5mL,화이자시타라빈주100mg/5mL,5ML/VIAL,  91 ,AUSTRALIA,전문
PFIZER CYTARABINE INJ,화이자시타라빈주,10ML/VIAL/PACK,"  86,941 ",AUSTRALIA,전문
PFIZER CYTARABINE INJ,화이자시타라빈주,20ML/VIAL/PACK,"  55,896 ",AUSTRALIA,전문
PFIZER DESFERRIOXAMINE MESYLATE INJ 500MG,화이자데페록사민메실레이트주500mg,500MG/10VIAL/PACK,"  31,404 ",AUSTRALIA,전문
PFIZER FLUDARABINE INJ,화이자플루다라빈주,50MG/VIAL/PACK,"  18,120 ",U.K,전문
PFIZER LEUCOVORIN INJ 15MG,화이자류코보린주15mg,2ML/5AMP/PACK,"  59,092 ",AUSTRALIA,전문
PFIZER LEUCOVORIN INJ,화이자류코보린주,10ML/VIAL/PACK,"  136,698 ",AUSTRALIA,전문
PFIZER LEUCOVORIN INJ,화이자류코보린주,30ML/VIAL/PACK,"  652,378 ",AUSTRALIA,전문
PFIZER LEUCOVORIN INJ,화이자류코보린주,5ML/VIAL/PACK,"  66,882 ",AUSTRALIA,전문
PFIZER METHOTREXATE INJ 1G,화이자메토트렉세이트주1g,10ML/VIAL/PACK,"  6,999 ",AUSTRALIA,전문
PFIZER METHOTREXATE INJ 25MG/ML,화이자메토트렉세이트주25mg/ml,20ML/VIAL/PACK,"  43,871 ",AUSTRALIA,전문
PFIZER METHOTREXATE INJ 25MG/ML,화이자메토트렉세이트주25mg/mL,2ML/5VIAL/PACK,"  8,685 ",AUSTRALIA,전문
PFIZER METHOTREXATE INJ 5G,화이자메토트렉세이트주5g,50ML/VIAL/PACK,"  110,523 ",AUSTRALIA,전문
PFIZER PEMETREXED FOR INJECTION 1G,화이자페메트렉시드주1g,1G/VIAL,  393 ,AUSTRALIA,전문
PFIZER PENTAMIDINE ISETHIONATE INJ 300MG,화이자펜타미딘이세티온산염주300mg,300MG/1VIAL/PACK,"  33,198 ",AUSTRALIA,전문
PFIZER VANCOMYCIN HCL INJ 1G,화이자반코마이신염산염주1g,25ML/10VIAL/PACK,"  66,520 ",USA,전문
PFIZER VINCRISTINE SULFATE INJ 1MG/ML,화이자빈크리스틴황산염주1mg/mL,1ML/5VIAL/PACK,"  12,583 ",AUSTRALIA,전문
PFIZER VINCRISTINE SULFATE INJ 1MG/ML,화이자빈크리스틴황산염주1mg/mL,2ML/5VIAL/PACK,"  51,762 ",AUSTRALIA,전문
PFIZER VINORELBINETARTRATE INJ 10MG/ML,화이자비노렐빈타르타르산염주10mg/mL,1ML/VIAL/PACK,"  6,599 ",AUSTRALIA,전문
PFIZER VINORELBINETARTRATE INJ 10MG/ML,화이자비노렐빈타르타르산염주10mg/ml,5ML/VIAL/PACK,"  32,703 ",AUSTRALIA,전문
PFIZERIRINOTECAN INJ,화이자이리노테칸주,2ML/VIAL,"  5,526 ",AUSTRALIA,전문
PFIZERIRINOTECAN INJ,화이자이리노테칸주,5ML/VIAL,"  20,010 ",AUSTRALIA,전문
PHARMATRONIC TESTOSTERONE ENANTHATE INJ. 250MG/ML,파마트로닉테스토스테론에난테이트주250mg/mL,1ML/10AMP/BOX,"  120,346 ",GERMANY,전문
PHEBURANE GRANULE,페부레인과립,174G/1BOTTLE/BOX,"  285,644 ",FRANCE,전문
PHOTOFRIN INJ. 75MG,포토프린주사75밀리그램,75MG/VIAL,"  206,250 ",BARBADOS,전문
PHOXILIUM PHOSPHORIC ACID SOLUTION1.2MMOL/L,폭실리움인산액1.2mmol/L,5L/2BAG/BOX,"  268,445 ",SWEDEN,전문
PHYSIONEAL SOLUTION 1.5% (CLEAR FLEX A+B),피지오닐액1.5%-클리어플렉스A+B,5L/2BAG/BOX,"  3,728,364 ",SINGAPORE,전문
PHYSIONEAL SOLUTION 1.5%-VIAPLEX A+B,피지오닐액1.5%-비아플렉스A+B,2000ML/5BAG/BOX,"  5,391,130 ",SINGAPORE,전문
PHYSIONEAL SOLUTION 2.5% (CLEAR FLEX A+B),피지오닐액2.5%-클리어플렉스A+B,5L/2BAG/BOX,"  4,071,353 ",SINGAPORE,전문
PHYSIONEAL SOLUTION 2.5%-VIAPLEX A + B,피지오닐액2.5%-비아플렉스A+B,2000ML/5BAG/BOX,"  4,120,728 ",SINGAPORE,전문
PHYSIONEAL SOLUTION 4.25% (CLEAR FLEX A+B),피지오닐액4.25%-클리어플렉스A+B,5L/2BAG/BOX,"  508,143 ",SINGAPORE,전문
PHYSIONEAL SOLUTION 4.25%-VIAPLEX A+B,피지오닐액4.25%-비아플렉스A+B,2000ML/5BAG/BOX,"  845,862 ",SINGAPORE,전문
PICATO GEL 0.015%,피카토겔0.015%,0.47G/3TUBE/BOX,"  58,674 ",DENMARK,전문
PICATO GEL 0.05%,피카토겔0.05%,0.47G/2TUBE/BOX,"  21,376 ",DENMARK,전문
PIRESPA 200MG TABLET,피레스파정200밀리그램,10TAB/10PTP/CASE,"  9,122,662 ",JAPAN,전문
PK-MERZ INFUSION INJ,피케이멜즈인퓨전주,500ML/BOTTLE,"  44,533 ",GERMANY,전문
PLACENTEX INJ.,플라센텍스주,3ML/5AMP/PACK,"  332,516 ",ITALY,전문
PLASMALYTE 148 INJ,플라스마라이트148주,1000ML/10BAG/BOX,"  667,087 ",SPAIN,전문
PLASMALYTE 148 INJ,플라스마라이트148주,500ML/20BAG/BOX,"  29,450 ",SPAIN,전문
PLAVIX A TABLET,플라빅스에이정,10TAB/3PTP/BOX,"  1,553,665 ",FRANCE,전문
PLEGRIDIFIN INJ. 125MCG,플레그리디펜주125마이크로그램,125MCG/2PFS/PACK,"  88,740 ",U.K,전문
PLEGRIDIFIN INJ. STARTER PACK,플레그리디펜주스타터팩,(63MCG/PFS)+(94MCG/PFS)/PACK,"  61,350 ",U.K,전문
PMS-FLUOXETINE CAP 10MG,피엠에스플루옥세틴캡슐10밀리그램,30TAB/BOTTLE,"  114,898 ",CANADA,전문
PMS-FLUOXETINE CAP 20MG,피엠에스플루옥세틴캡슐20밀리그램,30TAB/BOTTLE,"  99,473 ",CANADA,전문
PMS-GABAPENTIN CAP 100MG,피엠에스가바펜틴캡슐100밀리그램,100CAP/BOTTLE,"  22,576 ",CANADA,전문
PMS-GABAPENTIN CAP 100MG,피엠에스가바펜틴캡슐100밀리그램,30CAP/BOTTLE,"  4,601 ",CANADA,전문
PMS-GABAPENTIN CAP 300MG,피엠에스가바펜틴캡슐300밀리그램,100CAP/BOTTLE,"  32,998 ",CANADA,전문
PMS-GABAPENTIN CAP 300MG,피엠에스가바펜틴캡슐300밀리그램,30CAP/BOTTLE,"  7,812 ",CANADA,전문
PMS-GABAPENTIN CAP 400MG,피엠에스가바펜틴캡슐400밀리그램,30CAP/BOTTLE,"  4,745 ",CANADA,전문
PMS-MIRTAZAPINE TAB 15MG,피엠에스미르타자핀정15밀리그램,30TAB/BOTTLE,"  23,957 ",CANADA,전문
PMS-NYSTATIN SUSPENSION,피엠에스니스타틴시럽,100ML/BOTTLE,"  288,105 ",CANADA,전문
PMS-PRAMIPEXOLE TAB 0.25MG,피엠에스프라미펙솔정0.25밀리그램,30TAB/BOTTLE,"  37,800 ",CANADA,전문
PMS-PRAMIPEXOLE TAB 0.5MG,피엠에스프라미펙솔정0.5밀리그램,30TAB/BOTTLE,"  30,480 ",CANADA,전문
PMS-PRAMIPEXOLE TAB 1MG,피엠에스프라미펙솔정1.0밀리그램,30TAB/BOTTLE,"  15,800 ",CANADA,전문
PMS-PREGABALIN CAP 150MG,피엠에스프레가발린캡슐150밀리그램,30CAP/BOTTLE,"  19,042 ",CANADA,전문
PMS-PREGABALIN CAP 150MG,피엠에스프레가발린캡슐150밀리그램,60CAP/BOTTLE,"  18,251 ",CANADA,전문
PMS-PREGABALIN CAP 300MG,피엠에스프레가발린캡슐300밀리그램,30CAP/BOTTLE,"  20,793 ",CANADA,전문
PMS-PREGABALIN CAP 75MG,피엠에스프레가발린캡슐75밀리그램,30CAP/BOTTLE,"  27,205 ",CANADA,전문
PMS-PREGABALIN CAP 75MG,피엠에스프레가발린캡슐75밀리그램,60CAP/BOTTLE,"  14,303 ",CANADA,전문
PMS-RISPERIDONE TAB 0.5MG,피엠에스리스페리돈정0.5밀리그램,30TAB/BOTTLE,"  48,834 ",CANADA,전문
PMS-RISPERIDONE TAB 1MG,피엠에스리스페리돈정1밀리그램,30TAB/BOTTLE,"  19,711 ",CANADA,전문
PMS-RISPERIDONE TAB 2MG,피엠에스리스페리돈정2밀리그램,30TAB/BOTTLE,"  62,556 ",CANADA,전문
PMS-RISPERIDONE TAB 3MG,피엠에스리스페리돈정3밀리그램,30TAB/BOTTLE,"  41,041 ",CANADA,전문
PMS-ROSUVASTATIN TAB 10MG,피엠에스로수바스타틴칼슘정10밀리그램,30TAB/BOTTLE,"  31,265 ",CANADA,전문
PMS-ROSUVASTATIN TAB 20MG,피엠에스로수바스타틴칼슘정20밀리그램,30TAB/BOTTLE,"  42,601 ",CANADA,전문
PMS-ROSUVASTATIN TAB 5MG,피엠에스로수바스타틴칼슘정5밀리그램,30TAB/BOTTLE,"  39,632 ",CANADA,전문
PMS-TOPIRAMATE TAB 100MG,피엠에스토피라메이트정100밀리그램,30TAB/BOTTLE,"  72,382 ",CANADA,전문
PMS-TOPIRAMATE TAB 25MG,피엠에스토피라메이트정25밀리그램,30TAB/BOTTLE,"  13,728 ",CANADA,전문
PMS-VALACICLOVIR TAB,피엠에스발라시클로버정,30TAB/BOTTLE,"  146,859 ",CANADA,전문
PNEUMAST 4MG,뉴마스트세립4밀리그램,500MG/28SACHET/PACK,"  50,847 ",GERMANY,전문
PNEUMAST CHEW TAB 4MG,뉴마스트츄정4밀리그램,14TAB/2PTP/PACK,"  26,491 ",BELGIUM,전문
PNEUMAST CHEW TAB 5MG,뉴마스트츄정5밀리그램,14TAB/2PTP/PACK,"  36,515 ",BELGIUM,전문
PNEUMAST TAB 10MG,뉴마스트정10밀리그램,14TAB/2PTP/PACK,"  137,162 ",BELGIUM,전문
PNEUMO-23,뉴모-23폐렴구균백신주사,0.5ML/1SYRINGE/BOX,"  1,329,387 ",FRANCE,전문
POMALYST 1MG CAPSULES,포말리스트캡슐1밀리그램,21CAP/1BOTTLE/PACK,"  187,787 ",U.K,전문
POMALYST 3MG CAPSULES,포말리스트캡슐3밀리그램,21CAP/1BOTTLE/PACK,"  1,422,127 ",U.K,전문
POMALYST 4MG CAPSULES,포말리스트캡슐4밀리그램,21CAP/1BOTTLE/PACK,"  4,563,400 ",U.K,전문
POSICAINE INJ 100,포시카인주100,1.7ML/50CARTRIDGE/BOX,"  238,126 ",CANADA,전문
POSTINO-1TAB,포스티노-1정,1TAB/BOX,"  445,822 ",GERMANY,전문
PRADAXA CAPSULE 110MG,프라닥사캡슐110밀리그램,10CAP/6PTP/PACK,"  9,672,134 ",CANADA,전문
PRADAXA CAPSULE 150MG,프라닥사캡슐150밀리그램,10CAP/6PTP/PACK,"  4,871,936 ",CANADA,전문
PRALUENT 150MG,프랄런트주150mg,1ML/1PFS/PACK,  200 ,FRANCE,전문
PRALUENT 150MG,프랄런트펜주150mg,1ML/2PFP/PACK,"  2,791 ",FRANCE,전문
PRALUENT 75MG,프랄런트주75mg,1ML/1PFS/PACK,  75 ,FRANCE,전문
PRALUENT 75MG,프랄런트펜주75mg,1ML/2PFP/PACK,"  1,953 ",FRANCE,전문
PRAVAFENIX CAP,프라바페닉스캡슐,30CAP/BOTTLE,"  2,986,243 ",BELGIUM,전문
PRAXBIND INJ.,프락스바인드주사제,50ML/2VIAL/PACK,"  154,074 ",GERMANY,전문
PRECEDEX INJ.,프리세덱스주,2ML/5VIAL/PACK,"  2,604,396 ",USA,전문
PRECEDEX PREMIX INJ,프리세덱스프리믹스주,100ML/10BOTTLE/PACK,"  340,294 ",USA,전문
PRECEDEX PREMIX INJ,프리세덱스프리믹스주,100ML/BOTTLE,"  2,925 ",USA,전문
PRECEDEX PREMIX INJ,프리세덱스프리믹스주,20ML/10BOTTLE/PACK,"  149,084 ",USA,전문
PRECEDEX PREMIX INJ,프리세덱스프리믹스주,20ML/BOTTLE,  450 ,USA,전문
PRECEDEX PREMIX INJ,프리세덱스프리믹스주,50ML/20BOTTLE/PACK,"  181,726 ",USA,전문
PRECEDEX PREMIX INJ,프리세덱스프리믹스주,50ML/BOTTLE,"  3,750 ",USA,전문
PRED-FORTE OPHTHALMIC SUSPENSION,프레드포르테점안액,5ML/BOTTLE,"  921,063 ",IRELAND,전문
PREGNYL INJ.5000IU,프레그닐주5000아이유,1AMP/PACK,"  24,040 ",NETHERLANDS,전문
PRESCRIPTION TREATMENT SET,알레르기치료처방셋트,5ML/5VIAL/SET,"  8,272 ",USA,전문
PREVENAR 13 INJECTION,프리베나13주,0.5ML/1PFS/PACK,"  48,316,554 ",U.K,전문
PREZCOBIX TAB.,프레즈코빅스정,30TAB/BOTTLE,"  520,946 ",BELGIUM,전문
PREZISTA NAIVE TAB 400MG,프레지스타나이브정400밀리그램,60TAB/1BOTTLE/PACK,"  84,702 ",BELGIUM,전문
PREZISTA TAB 600MG,프레지스타정600밀리그램,60TAB/1BOTTLE/PACK,"  118,557 ",BELGIUM,전문
PRILIGY TAB 30MG,프릴리지정30밀리그램,3TAB/2PTP/PACK,"  498,216 ",GERMANY,전문
PRILIGY TAB 60MG,프릴리지정60밀리그램,3TAB/2PTP/PACK,"  262,168 ",GERMANY,전문
PRIMACOR INJ.,프리마코주,10ML/10AMP/BOX,"  715,967 ",U.K,전문
PRIMENE 10% INJ,프라이멘10%주사,100ML/20BOTTLE/BOX,"  76,715 ",GERMANY,전문
PRIMENE 10% INJ,프라이멘10%주사,250ML/10BOTTLE/BOX,"  76,185 ",GERMANY,전문
PRIMOVIST INJ.,프리모비스트주사,10ML/1PFS/PACK,"  3,780,155 ",U.K,전문
PRIORIX INJ,프리오릭스주,0.5ML/10VIAL/PACK,"  1,019,771 ",BELGIUM,전문
PRISMASOL 2 NON-PVC,프리즈마졸2칼륨액,5000ML/2BAG/BOX,"  5,082 ",SWEDEN,전문
PRISMASOL 4 NON-PVC,프리즈마졸4칼륨액,5000ML/BAG,"  5,134 ",SWEDEN,전문
PRISTIQ ER TAB 100MG,프리스틱서방정100밀리그램,14TAB/2PTP/CARTON,"  560,362 ",AUSTRALIA,전문
PRISTIQ ER TAB 50MG,프리스틱서방정50밀리그램,14TAB/2PTP/CARTON,"  663,246 ",AUSTRALIA,전문
PRITOR PLUS TAB 40/12.5MG,프리토플러스정40/12.5밀리그램,10TAB/3PTP/PACK,"  2,589,584 ",U.K,전문
PRITOR PLUS TAB 80/12.5MG,프리토플러스정80/12.5밀리그램,10TAB/3PTP/PACK,"  1,767,024 ",U.K,전문
PRITOR PLUS TAB 80/25MG,프리토플러스정80/25밀리그램,10TAB/3PTP/PACK,"  22,882 ",GERMANY,전문
PRITOR TABLETS 40MG,프리토정40밀리그램,10TAB/3PTP/PACK,"  2,217,602 ",U.K,전문
PRITOR TABLETS 80MG,프리토정80밀리그램,10TAB/3PTP/PACK,"  821,253 ",U.K,전문
PROCORALAN TAB 5MG,프로코라란정5밀리그램,14TAB/4PTP/BOX,"  647,958 ",FRANCE,전문
PROCORALAN TAB 7.5MG,프로코라란정7.5밀리그램,14TAB/4PTP/BOX,"  139,472 ",FRANCE,전문
PRODIAX 23,프로디악스-23,0.5ML/10VIAL/PACK,"  1,807,660 ",USA,전문
PRODIAX 23,프로디악스-23,0.5ML/1VIAL/PACK,"  255,219 ",USA,전문
PROGESTERON DEPOT JENAPHARM,프로게스테론데포예나팜,5AMP/BOX,"  173,165 ",GERMANY,전문
PROGRAF CAPSULE 0.5MG,프로그랍캅셀0.5밀리그램,10CAP/5PTP/BOX,"  5,721,969 ",IRELAND,전문
PROGRAF CAPSULE 1MG,프로그랍캅셀1밀리그램,10CAP/10PTP/BOX,"  24,360,091 ",IRELAND,전문
PROGRAF INJECTION 5MG,프로그랍주사액5밀리그램,5MG/10AMP/BOX,"  417,664 ",IRELAND,전문
PROGYNOVA 28TAB 1MG,프로기노바28정1밀리그램,28TAB/1PTP/PACK,"  248,718 ",U.K,전문
PROGYNOVA 28TAB 2MG,프로기노바28정2밀리그램,28TAB/1PTP/PACK,"  992,888 ",U.K,전문
PROHANCE INJ PFS,프로핸스주프리필드시린지,10ML/1PFS/PACK,"  127,412 ",ITALY,전문
PROHANCE INJ PFS,프로핸스주프리필드시린지,15ML/1PFS/PACK,"  1,652,381 ",ITALY,전문
PROHANCE INJ PFS,프로핸스주프리필드시린지,17ML/1PFS/PACK,"  477,528 ",ITALY,전문
PROHANCE INJ,프로핸스주,20ML/1VIAL/PACK,"  342,478 ",ITALY,전문
PROLEUKIN INJECTION,프로류킨주,18000000IU/VIAL/PACK,"  512,416 ",GERMANY,전문
PROLIA PREFILED SYRINGE(DENOSUMAB),프롤리아프리필드시린지,1ML/1PFS/PACK,"  1,738,000 ",USA,전문
PROPECIA TAB 1MG,프로페시아정1밀리그램,28TAB/1PTP/PACK,"  3,887,897 ",USA,전문
PROPECIA TAB 1MG,프로페시아정1밀리그램,4TAB/21PTP/PACK,"  13,096,300 ",USA,전문
PROPESS VAGINAL SR TAB,프로페스질서방정,1TAB/1PTP/PACK,"  501,513 ",U.K,전문
PROSCAR TAB,프로스카정,3TAB/10PTP/PACK,"  6,517,843 ",U.K,전문
PROTOPIC OINTMENT 0.03%,프로토픽연고0.03%,10G/TUBE/BOX,"  373,455 ",NETHERLANDS,전문
PROTOPIC OINTMENT 0.03%,프로토픽연고0.03%,30G/TUBE/BOX,"  485,012 ",NETHERLANDS,전문
PROTOPIC OINTMENT 0.1%,프로토픽연고0.1%,10G/TUBE/BOX,"  328,245 ",NETHERLANDS,전문
PROTOPIC OINTMENT 0.1%,프로토픽연고0.1%,30G/TUBE/BOX,"  1,790,222 ",NETHERLANDS,전문
PROVERA 10MG TABLETS,프로베라정10mg,10TAB/4PTP/BOX,"  220,666 ",ITALY,전문
PROVERA 5MG TABLETS,프로베라정5mg,10TAB/10PTP/BOX,"  39,872 ",ITALY,전문
PROVISC INJ,프로비스크주,0.85ML/1SYRINGE/PACK,"  459,862 ",BELGIUM,전문
PROVOCHOLINE POWDER 100MG,프로보콜린산100밀리그램,6VIAL/CARTON,"  682,217 ",CANADA,전문
PROZAC CAPSULE 20MG,푸로작캡슐20mg,10CAP/10PTP/PACK,"  286,335 ",FRANCE,전문
PROZAC CAPSULE 20MG,푸로작캡슐20mg,14CAP/2PTP/PACK,"  272,615 ",FRANCE,전문
PROZAC DISPERSIBLE TAB 20MG,푸로작확산정20밀리그램,14TAB/2PTP/PACK,"  362,075 ",FRANCE,전문
PULMICORT RESPULES BUDESONIDE 0.5MG/2ML INHALATION,풀미코트레스퓰분무용현탁액0.5mg/2ml,2ML/30AMP/PACK,"  1,715,290 ",SWEDEN,전문
PULMICORT TURBUHALER 200MCG/PACK,풀미코트터부헬러200mcg/dose,1BOTTLE/PACK(100DOSE),"  221,061 ",SWEDEN,전문
PUREGON PEN INJ,퓨레곤펜주,0.84ML/1CARTRIDGE/PACK(300IU),"  81,320 ",NETHERLANDS,전문
PUREGON PEN INJ,퓨레곤펜주,0.84ML/1CARTRIDGE/PACK(600IU),"  407,436 ",NETHERLANDS,전문
PUREGON PEN INJ,퓨레곤펜주,0.84ML/1CARTRIDGE/PACK(900IU),"  689,442 ",NETHERLANDS,전문
PUREGON SOLUTION INJ. 100IU,퓨레곤용액주100IU,0.5ML/1VIAL/PACK,"  32,793 ",NETHERLANDS,전문
QLAIRA TAB.,클래라정,28TAB/1PTP/PACK,"  1,311,451 ",GERMANY,전문
Q-ROKEL XR TAB. 150MG,큐로켈서방정150밀리그램,10TAB/6PTP/PACK,"  30,511 ",GREECE,전문
Q-ROKEL XR TAB. 400MG,큐로켈서방정400밀리그램,10TAB/6PTP/PACK,"  75,153 ",GREECE,전문
Q-ROKEL XR TAB. 50MG,큐로켈서방정50밀리그램,10TAB/6PTP/PACK,"  67,840 ",GREECE,전문
QUETIAPINE SR TAB. 150MG,쿠에타핀서방정150밀리그램,10TAB/6PTP/PACK,"  58,470 ",GREECE,전문
QUETIAPINE SR TAB. 200MG,쿠에타핀서방정200밀리그램,10TAB/6PTP/PACK,"  89,101 ",GREECE,전문
QUETIAPINE SR TAB. 300MG,쿠에타핀서방정300밀리그램,10TAB/6PTP/PACK,"  85,949 ",GREECE,전문
QUETIAPINE SR TAB. 400MG,쿠에타핀서방정400밀리그램,10TAB/6PTP/PACK,"  149,641 ",GREECE,전문
QUETIAPINE SR TAB. 50MG,쿠에타핀서방정50밀리그램,10TAB/6PTP/PACK,"  142,476 ",GREECE,전문
QUETY EXTENDED-RELESE TABLETS 150MG,쿠에티서방정150밀리그램,10TAB/6PTP/PACK,"  22,232 ",GREECE,전문
QUETY EXTENDED-RELESE TABLETS 50MG,쿠에티서방정50밀리그램,10TAB/6PTP/PACK,"  27,574 ",GREECE,전문
RADICUT INJ. 30MG,라디컷주30mg,20ML/AMP,"  492,803 ",JAPAN,전문
RAFINLAR CAP. 50MG,라핀나캡슐50밀리그램,120CAP/1PTP/BOX,"  131,688 ",U.K,전문
RAFINLAR CAP. 75MG,라핀나캡슐75밀리그램,120CAP/1BOTTLE/BOX,"  288,701 ",U.K,전문
RAPAMUNE TAB 1MG (SIROLIMUS),라파뮨정1밀리그램,10TAB/10PTP/PACK,"  1,362,019 ",TAIWAN,전문
RAPAMUNE TAB 2MG (SIROLIMUS),라파뮨정2밀리그램,10TAB/10PTP/PACK,"  315,008 ",TAIWAN,전문
REBIDOSE PRE-FILLED PEN 44MCG,레비도즈프리필드펜44마이크로그램,0.5ML/12SYRINGE/BOX,"  791,087 ",U.K,전문
REBIF PREFILLED INJ. 22MCG,레비프프리필드주사22마이크로그램,22MCG/3SYRINGE/BOX,"  186,585 ",U.K,전문
REBIF PREFILLED INJ. 44MCG,레비프프리필드주사44마이크로그램,12SYRINGE/BOX,"  197,538 ",U.K,전문
RECTOGESIC OINTMENT,엔터팜렉토제식연고,30G/TUBE,"  26,864 ",AUSTRALIA,전문
REGPARA TAB. 25MG(CINACALCET HCL),레그파라정25밀리그램,10TAB/10PTP/BOX,"  3,261,120 ",JAPAN,전문
